Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,30,126.5,61,7
10,28,135.11764705882354,341,8
20,27,116.20833333333333,315,8
30,56,123.71428571428571,389,11
40,77,127.375,885,13
50,77,115.91666666666667,788,18
60,77,130.19148936170214,791,18
70,86,144.3793103448276,947,18
80,85,122.0421052631579,898,19
90,86,311.6991150442478,891,24
100,111,743.4090909090909,1104,25
110,94,279.5353535353535,1038,24
120,70,444.8492063492063,999,29
130,57,286.9642857142857,1089,28
140,103,1016.3389830508474,780,28
150,86,1745.7454545454545,1213,31
160,145,3018.5333333333333,878,31
170,131,1087.7684210526315,846,32
180,142,1429.2413793103449,962,30
190,153,2965.183673469388,1185,30
200,184,983.3678160919541,1168,30
210,182,3918.7391304347825,1521,31
220,184,879.620253164557,1516,31
230,197,743.3150684931506,1416,31
240,200,723.4444444444445,1454,31
250,198,748.2820512820513,1522,31
260,179,1605.4507042253522,1347,31
270,184,690.8243243243244,1523,31
280,33,826.4225352112676,1395,32
290,9,1606.5227272727273,1637,32
300,145,9451.276315789473,1518,31
310,144,11259.08849557522,1264,32
320,145,11306.326241134751,1888,32
330,129,21368.299145299145,1990,31
340,129,13363.522935779816,1761,31
350,130,22679.97087378641,1351,32
360,13,21912.189655172413,1021,33
370,113,3082.455882352941,1085,35
380,112,1996.0285714285715,1065,36
390,85,3642.1475409836066,1736,38
400,82,744.723076923077,1091,46
410,83,1181.4588235294118,928,46
420,33,332.31081081081084,825,40
430,25,146.28787878787878,703,33
440,18,121.63636363636364,755,23
450,5,91.88888888888889,632,23
460,30,132.4375,312,18
470,30,121.33333333333333,330,20
480,0,118.61538461538461,286,17
490,0,1000000,0,8
500,0,1000000,0,8
510,0,1000000,0,7
520,0,1000000,0,7
530,0,1000000,0,7
540,0,1000000,0,7
550,0,1000000,0,7
