Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,0,1000000,0,7
10,0,1000000,0,7
20,29,123.125,326,7
30,30,126.78571428571429,290,7
40,30,123.9375,331,7
50,77,78.85714285714286,799,7
60,77,84.48780487804878,808,11
70,77,106.20714285714286,726,17
80,81,126.83221476510067,746,22
90,87,103.16949152542372,828,22
100,87,79.45652173913044,748,22
110,112,84.78378378378379,924,24
120,124,945.374269005848,660,25
130,95,1663.6297872340426,1011,26
140,132,1290.191135734072,1276,28
150,80,226.73790322580646,906,31
160,130,2554.348623853211,555,31
170,131,1205.4866666666667,1097,32
180,145,3541.2844036697247,1694,33
190,140,4207.514893617022,1427,33
200,145,2404.479704797048,1035,34
210,184,506.82758620689657,1165,34
220,185,1274.2525252525252,1245,34
230,187,3018.753138075314,1719,34
240,195,1258.407960199005,1478,34
250,194,1900.2292817679559,1512,34
260,204,989.235632183908,1502,34
270,185,1217.6030534351146,1577,34
280,186,1572.7669376693766,1479,34
290,187,3350.5132075471697,1732,34
300,162,990,1440,34
310,146,3796.2676691729325,1817,34
320,117,2731.852564102564,1365,34
330,146,1293.5542857142857,1435,34
340,131,123.22434367541766,1141,37
350,128,106.20441988950276,1119,34
360,132,194.1129476584022,1081,32
370,110,84.83627204030226,1094,32
380,113,82.48857142857143,1037,27
390,114,81.65230769230769,1016,26
400,86,81.72789115646259,850,26
410,85,105.61847389558233,752,22
420,86,79.51965065502183,821,21
430,77,81.25714285714285,767,21
440,76,92.6951871657754,731,21
450,76,91.94897959183673,706,21
460,30,85.62146892655367,703,21
470,29,126.6842105263158,308,17
480,30,121.65714285714286,274,11
490,30,120.75,292,10
500,0,1000000,0,7
510,0,1000000,0,7
