Time(secs),Inbound workload,Latency(ms),Message loss,Deployed Instances
0,0,1000000,0,7
10,22,136.66666666666666,294,15
20,17,215.625,328,17
30,15,126.35714285714286,335,20
40,77,298.97727272727275,791,25
50,42,644.275,709,30
60,34,2057.898305084746,859,31
70,77,827.3770491803278,903,31
80,84,970.0370370370371,948,34
90,85,1066.3972602739725,1003,36
100,83,348.49056603773585,931,37
110,132,1729.4,449,38
120,114,2176.714285714286,635,37
130,131,1658.0333333333333,1754,37
140,129,2706.478260869565,1428,37
150,101,2905.25,1571,38
160,122,4175.5625,546,37
170,145,4830.049180327869,1125,41
180,142,3692.169014084507,1190,40
190,145,2713.616666666667,1395,40
200,181,704.9784946236559,1280,40
210,174,1390.1,1382,40
220,181,1299.948717948718,1214,40
230,204,414.609022556391,1751,41
240,161,670.3333333333334,697,41
250,181,1687.25,780,40
260,182,1065.1008403361345,1284,41
270,185,13670.612676056338,1398,41
280,184,2393.6363636363635,1635,41
290,178,1420.6448598130842,915,41
300,144,5582.691823899371,1233,41
310,147,4241.9152542372885,501,41
320,144,1609.6178861788617,1155,41
330,160,8640.697183098591,1341,43
340,128,3215.6509433962265,1167,43
350,131,1861.6666666666667,1119,44
360,143,1216.857142857143,692,44
370,110,1693.171052631579,700,44
380,117,7483.452380952381,531,44
390,104,9720.797202797203,1088,43
400,86,6848.170370370371,1005,43
410,89,6075.556818181818,695,42
420,85,5126.75,798,44
430,76,21286.20779220779,1115,43
440,76,6604.384615384615,792,45
450,76,11928.302631578947,1024,44
460,30,3311.4054054054054,454,47
470,30,214.69444444444446,260,45
480,15,230.91304347826087,319,39
490,0,135.64285714285714,80,31
500,0,1000000,0,24
510,0,1000000,0,14
520,0,1000000,0,10
530,0,1000000,0,7
540,0,1000000,0,7
550,0,1000000,0,7
